,mean,lower,upper
1,0.364843157,0.336769623,0.395256935
2,0.95260588,0.862701023,1.051880012
3,0.838511763,0.785061099,0.8956016
4,0.375860119,0.35031663,0.403266121
5,0.39682603,0.351370962,0.448161389
6,0.985223884,0.927937098,1.046047306
7,0.878851703,0.81992693,0.942011157
8,0.6396482,0.587838355,0.696024369
9,0.05419227,0.040219512,0.073019336
10,0.330813761,0.282961215,0.386758816
11,0.510439606,0.449418695,0.579745778
12,0.097945727,0.081259433,0.118058483
13,0.084936349,0.073281801,0.098444407
14,0.03374075,0.025517489,0.044614036
15,0.058453241,0.049781106,0.068636109
16,0.29837758,0.243617525,0.365446534
17,0.116355875,0.091892555,0.147331736
18,0.029782633,0.02456257,0.03611207
19,0.642719905,0.575131168,0.718251591
20,0.100242053,0.083644085,0.12013365
21,0.144860658,0.121799032,0.172288808
22,0.12885292,0.104667205,0.15862729
23,0.041261504,0.032925003,0.051708781
24,0.075948324,0.06061264,0.095164111
25,0.156528748,0.138128134,0.177380583
26,1.443826761,1.308822035,1.592757197
27,0.168145304,0.140633776,0.201038784
28,0.01815322,0.008933188,0.036889339
29,0.019619654,0.015471663,0.02487973
30,0.075223055,0.066803123,0.084704243
31,0.334957665,0.276483973,0.405797977
32,0.009260642,0.006905045,0.01241983
33,0.043591102,0.036143576,0.052573219
34,0.121970983,0.104307083,0.142626179
35,0.080590356,0.067337557,0.096451456
36,4.89E-08,NA,NA
37,4.81E-08,NA,NA
38,0.004712083,0.00268976,0.008254911
39,0.071113878,0.049590183,0.101979531
40,0.375563566,0.217356061,0.648925966
41,0.022901038,0.016714005,0.031378328
42,4.85E-08,NA,NA
43,0.035518134,0.024961777,0.050538785
44,0.228254816,0.178614113,0.291691738
45,0.056014506,0.041287839,0.075993924
46,444599196.2,15223754.84,12984211012
47,0.009285617,0.006312223,0.013659639
48,4.97E-08,NA,NA
49,0.017759039,0.011693998,0.026969688
50,0.036549296,0.028469003,0.046923
